CIDADE,ESTADO,LAVANDERIA,PERFIL,UNIDADE DE ATENDIMENTO,PREÇO A PARTIR DE,PREÇO ANUNCIADO,FRETE A PARTIR DE ,INSTALAÇÃO,PEDIDO MÍNIMO,POPULAÇÃO,STATUS,DDD,OBSERVAÇÕES
Abadia de Goiás,GO,,,Goiânia/GO,"R$25,00","R$25,00","R$0,00",,,8.958,fazer parceria,62,
Águas da Prata,SP,L01,,Poços de Caldas/MG,"R$29,00","R$29,00",R$2/km,,,7.300,fazer parceria,35,
Almirante Tamandaré,PR,,P06,Colombo/PR,"R$55,00","R$62,00","R$0,00","R$0,00","0,00",120.041,inativa,41,
Almirante Tamandaré,PR,,P06,Piraquara/PR,"R$50,00","R$50,00","R$0,00","R$0,00","R$25,00",120.041,inativa,41,
Altair,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,4.186,pausado,17,"Taxa para tapete molhado: R$20,00"
Aparecida de Goiânia,GO,L01,P09,Goiânia/GO,"R$40,00","R$40,00","R$25,00","R$0,00",perguntar,590.146,inativa,62,
Araquari,SC,,,,,,,,,39.524,fazer parceria,47,
Araranguá,SC,L01,P01,Criciúma/SC,"R$42,00","R$47,00","R$40,00","R$0,00","R$50,00",68.867,ativa,48,
Araruna,PR,,,Cianorte/PR,"R$25,00","R$25,00","R$15,00",,,14.000,fazer parceria,44,
Araucária,PR,,P06,Piraquara/PR,"R$58,00","R$58,00","R$0,00","R$0,00","R$25,00",146.214,inativa,41,
Araucária,PR,,P06,Colombo/PR,"R$55,00","R$62,00","R$0,00","R$0,00","0,00",146.214,inativa,41,
Araucária,PR,L01,P06,Araucária/PR,"R$38,00","R$43,00","R$0,00","R$0,00","0,00",146.214,ativa,41,
Arujá,SP,L01,P07,São Paulo/SP (Leste),"R$27,00","R$39,00","R$45,00","R$12,00","R$50,00",91.157,ativa,11,
Bady Bassitt,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,17.761,pausado,17,"Taxa para tapete molhado: R$20,00"
Balneário Camboriú,SC,,P02,Itajaí/SC,"R$43,00","R$43,00","R$0,00","R$0,00","R$50,00",145.796,pausado,47,
Balneário Camboriú,SC,,P01,Tijucas/SC,"R$52,00","R$52,00","R$92,00","R$0,00","R$156,00",145.796,pausado,47,
Balneário Piçarras,SC,,P02,Itajaí/SC,"R$43,00","R$43,00","R$0,00","R$0,00","R$50,00",23.147,pausado,47,
Balneário Rincão,SC,L01,P01,Criciúma/SC,"R$42,00","R$47,00","R$31,00","R$0,00","R$50,00",13.129,ativa,48,
Bálsamo,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,9.139,pausado,17,"Taxa para tapete molhado: R$20,00"
Barra Velha,SC,,,,,,,,,30.539,fazer parceria,47,
